datetime,number_of_cargo_ships,number_of_tanker_ships,location
2021-09-23,56,22,bab
2021-09-24,56,25,bab
2021-09-25,43,25,bab
2021-09-26,37,17,bab
2021-09-27,49,14,bab
2021-09-28,48,17,bab
2021-09-29,38,17,bab
2021-09-30,39,17,bab
2021-10-01,31,21,bab
2021-10-02,37,23,bab
2021-10-03,48,14,bab
2021-10-04,42,31,bab
2021-10-05,41,18,bab
2021-10-06,41,14,bab
2021-10-07,38,17,bab
2021-10-08,55,13,bab
2021-10-09,46,20,bab
2021-10-10,48,19,bab
2021-10-11,22,11,bab
2021-10-12,50,21,bab
2021-10-13,42,22,bab
2021-10-14,48,12,bab
2021-10-15,43,20,bab
2021-10-16,38,16,bab
2021-10-17,43,17,bab
2021-10-18,26,11,bab
2021-10-19,42,21,bab
2021-10-20,40,15,bab
2021-10-21,47,17,bab
2021-10-22,47,17,bab
2021-10-23,38,18,bab
2021-10-24,39,18,bab
2021-10-25,56,17,bab
2021-10-26,40,17,bab
2021-10-27,35,12,bab
2021-10-28,41,22,bab
2021-10-29,40,20,bab
2021-10-30,47,15,bab
2021-10-31,33,20,bab
2021-11-01,46,23,bab
2021-11-02,48,17,bab
2021-11-03,40,26,bab
2021-11-04,47,16,bab
2021-11-05,47,20,bab
2021-11-06,47,20,bab
2021-11-07,38,17,bab
2021-11-08,29,17,bab
2021-11-09,42,19,bab
2021-11-10,40,21,bab
2021-11-11,28,21,bab
2021-11-12,44,15,bab
2021-11-13,40,22,bab
2021-11-14,37,18,bab
2021-11-15,42,20,bab
2021-11-16,37,15,bab
2021-11-17,38,19,bab
2021-11-18,47,18,bab
2021-11-19,47,28,bab
2021-11-20,48,21,bab
2021-11-21,55,14,bab
2021-11-22,58,18,bab
2021-11-23,50,12,bab
2021-11-24,45,21,bab
2021-11-25,40,16,bab
2021-11-26,41,18,bab
2021-11-27,43,17,bab
2021-11-28,42,22,bab
2021-11-29,46,18,bab
2021-11-30,38,19,bab
2021-12-01,43,14,bab
2021-12-02,44,14,bab
2021-12-03,56,17,bab
2021-12-04,47,25,bab
2021-12-05,35,14,bab
2021-12-06,41,22,bab
2021-12-07,45,18,bab
2021-12-08,32,17,bab
2021-12-09,41,22,bab
2021-12-10,48,12,bab
2021-12-11,34,20,bab
2021-12-12,40,20,bab
2021-12-13,42,17,bab
2021-12-14,43,20,bab
2021-12-15,46,17,bab
2021-12-16,47,12,bab
2021-12-17,31,14,bab
2021-12-18,52,16,bab
2021-12-19,43,22,bab
2021-12-20,50,16,bab
2021-12-21,48,15,bab
2021-12-22,48,18,bab
2021-12-23,41,17,bab
2021-12-24,43,17,bab
2021-12-25,59,12,bab
2021-12-26,48,10,bab
2021-12-27,42,21,bab
2021-12-28,30,14,bab
2021-12-29,46,24,bab
2021-12-30,40,15,bab
2021-12-31,47,18,bab
2022-01-01,44,14,bab
2022-01-02,44,23,bab
2022-01-03,38,25,bab
2022-01-04,41,13,bab
2022-01-05,43,20,bab
2022-01-06,52,21,bab
2022-01-07,54,18,bab
2022-01-08,36,11,bab
2022-01-09,52,15,bab
2022-01-10,43,24,bab
2022-01-11,40,15,bab
2022-01-12,45,21,bab
2022-01-13,35,19,bab
2022-01-14,28,17,bab
2022-01-15,53,21,bab
2022-01-16,50,14,bab
2022-01-17,36,22,bab
2022-01-18,48,15,bab
2022-01-19,48,19,bab
2022-01-20,40,20,bab
2022-01-21,47,18,bab
2022-01-22,42,13,bab
2022-01-23,45,16,bab
2022-01-24,38,16,bab
2022-01-25,39,15,bab
2022-01-26,39,14,bab
2022-01-27,50,10,bab
2022-01-28,54,19,bab
2022-01-29,46,21,bab
2022-01-30,51,17,bab
2022-01-31,42,15,bab
2022-02-01,40,18,bab
2022-02-02,40,18,bab
2022-02-03,51,17,bab
2022-02-04,57,19,bab
2022-02-05,41,22,bab
2022-02-06,48,16,bab
2022-02-07,34,18,bab
2022-02-08,52,23,bab
2022-02-09,45,20,bab
2022-02-10,54,15,bab
2022-02-11,52,21,bab
2022-02-12,46,19,bab
2022-02-13,61,21,bab
2022-02-14,42,15,bab
2022-02-15,34,13,bab
2022-02-16,34,25,bab
2022-02-17,49,13,bab
2022-02-18,52,13,bab
2022-02-19,32,18,bab
2022-02-20,40,15,bab
2022-02-21,42,23,bab
2022-02-22,59,18,bab
2022-02-23,39,13,bab
2022-02-24,45,20,bab
2022-02-25,51,21,bab
2022-02-26,51,18,bab
2022-02-27,41,12,bab
2022-02-28,45,14,bab
2022-03-01,35,15,bab
2022-03-02,49,25,bab
2022-03-03,45,12,bab
2022-03-04,44,13,bab
2022-03-05,44,18,bab
2022-03-06,37,18,bab
2022-03-07,41,19,bab
2022-03-08,34,15,bab
2022-03-09,49,18,bab
2022-03-10,47,17,bab
2022-03-11,51,23,bab
2022-03-12,47,18,bab
2022-03-13,48,17,bab
2022-03-14,46,18,bab
2022-03-15,41,19,bab
2022-03-16,41,26,bab
2022-03-17,53,22,bab
2022-03-18,42,18,bab
2022-03-19,39,24,bab
2022-03-20,41,18,bab
2022-03-21,42,25,bab
2022-03-22,43,14,bab
2022-03-23,49,17,bab
2022-03-24,42,17,bab
2022-03-25,41,13,bab
2022-03-26,35,17,bab
2022-03-27,41,19,bab
2022-03-28,58,23,bab
2022-03-29,47,14,bab
2022-03-30,42,23,bab
2022-03-31,51,17,bab
2022-04-01,51,21,bab
2022-04-02,40,29,bab
2022-04-03,38,16,bab
2022-04-04,40,16,bab
2022-04-05,44,27,bab
2022-04-06,45,23,bab
2022-04-07,49,21,bab
2022-04-08,46,11,bab
2022-04-09,37,28,bab
2022-04-10,60,22,bab
2022-04-11,40,24,bab
2022-04-12,35,22,bab
2022-04-13,46,21,bab
2022-04-14,43,18,bab
2022-04-15,40,22,bab
2022-04-16,48,21,bab
2022-04-17,43,26,bab
2022-04-18,46,18,bab
2022-04-19,46,22,bab
2022-04-20,44,17,bab
2022-04-21,51,21,bab
2022-04-22,36,30,bab
2022-04-23,29,19,bab
2022-04-24,47,17,bab
2022-04-25,44,27,bab
2022-04-26,41,18,bab
2022-04-27,49,22,bab
2022-04-28,36,23,bab
2022-04-29,52,17,bab
2022-04-30,47,18,bab
2022-05-01,48,26,bab
2022-05-02,36,25,bab
2022-05-03,48,23,bab
2022-05-04,41,16,bab
2022-05-05,49,23,bab
2022-05-06,43,21,bab
2022-05-07,44,23,bab
2022-05-08,48,22,bab
2022-05-09,43,16,bab
2022-05-10,45,16,bab
2022-05-11,51,21,bab
2022-05-12,3,2,bab
2022-05-13,42,19,bab
2022-05-14,42,14,bab
2022-05-15,38,19,bab
2022-05-16,40,17,bab
2022-05-17,38,22,bab
2022-05-18,47,13,bab
2022-05-19,43,19,bab
2022-05-20,43,21,bab
2022-05-21,40,23,bab
2022-05-22,40,33,bab
2022-05-23,51,25,bab
2022-05-24,43,19,bab
2022-05-25,38,22,bab
2022-05-26,45,20,bab
2022-05-27,51,23,bab
2022-05-28,43,25,bab
2022-05-29,36,17,bab
2022-05-30,37,24,bab
2022-05-31,48,23,bab
2022-06-01,38,23,bab
2022-06-02,44,27,bab
2022-06-03,39,29,bab
2022-06-04,41,29,bab
2022-06-05,40,20,bab
2022-06-06,48,23,bab
2022-06-07,41,21,bab
2022-06-08,50,26,bab
2022-06-09,50,21,bab
2022-06-10,45,15,bab
2022-06-11,37,16,bab
2022-06-12,48,23,bab
2022-06-13,47,19,bab
2022-06-14,43,27,bab
2022-06-15,48,15,bab
2022-06-16,48,30,bab
2022-06-17,43,23,bab
2022-06-18,42,22,bab
2022-06-19,55,21,bab
2022-06-20,43,22,bab
2022-06-21,45,24,bab
2022-06-22,40,21,bab
2022-06-23,45,28,bab
2022-06-24,36,18,bab
2022-06-25,49,20,bab
2022-06-26,41,23,bab
2022-06-27,47,24,bab
2022-06-28,50,25,bab
2022-06-29,55,21,bab
2022-06-30,48,21,bab
2022-07-01,36,26,bab
2022-07-02,48,28,bab
2022-07-03,52,18,bab
2022-07-04,52,32,bab
2022-07-05,45,23,bab
2022-07-06,39,18,bab
2022-07-07,43,15,bab
2022-07-08,50,21,bab
2022-07-09,57,22,bab
2022-07-10,41,28,bab
2022-07-11,43,33,bab
2022-07-12,48,21,bab
2022-07-13,40,24,bab
2022-07-14,46,35,bab
2022-07-15,57,23,bab
2022-07-16,42,24,bab
2022-07-17,42,17,bab
2022-07-18,41,30,bab
2022-07-19,55,20,bab
2022-07-20,52,17,bab
2022-07-21,46,25,bab
2022-07-22,41,20,bab
2022-07-23,50,29,bab
2022-07-24,35,28,bab
2022-07-25,42,22,bab
2022-07-26,41,25,bab
2022-07-27,43,19,bab
2022-07-28,42,24,bab
2022-07-29,53,23,bab
2022-07-30,45,25,bab
2022-07-31,39,22,bab
2022-08-01,45,32,bab
2022-08-02,44,15,bab
2022-08-03,47,25,bab
2022-08-04,48,30,bab
2022-08-05,48,29,bab
2022-08-06,45,30,bab
2022-08-07,41,22,bab
2022-08-08,51,15,bab
2022-08-09,54,24,bab
2022-08-10,36,22,bab
2022-08-11,49,19,bab
2022-08-12,50,25,bab
2022-08-13,57,13,bab
2022-08-14,43,24,bab
2022-08-15,42,18,bab
2022-08-16,41,26,bab
2022-08-17,44,29,bab
2022-08-18,51,23,bab
2022-08-19,48,23,bab
2022-08-20,43,22,bab
2022-08-21,59,19,bab
2022-08-22,50,28,bab
2022-08-23,41,18,bab
2022-08-24,50,30,bab
2022-08-25,37,26,bab
2022-08-26,48,22,bab
2022-08-27,45,22,bab
2022-08-28,53,29,bab
2022-08-29,49,19,bab
2022-08-30,49,32,bab
2022-08-31,38,25,bab
2022-09-01,51,21,bab
2022-09-02,52,26,bab
2022-09-03,47,27,bab
2022-09-04,47,27,bab
2022-09-05,44,28,bab
2022-09-06,47,26,bab
2022-09-07,48,24,bab
2022-09-08,52,22,bab
2022-09-09,45,20,bab
2022-09-10,36,37,bab
2022-09-11,43,25,bab
2022-09-12,36,24,bab
2022-09-13,41,19,bab
2022-09-14,49,24,bab
2022-09-15,50,22,bab
2022-09-16,56,30,bab
2022-09-17,44,26,bab
2022-09-18,52,19,bab
2022-09-19,42,26,bab
2022-09-20,53,17,bab
2022-09-21,52,25,bab
2022-09-22,47,30,bab
2022-09-23,44,17,bab
2022-09-24,33,31,bab
2022-09-25,38,30,bab
2022-09-26,47,19,bab
2022-09-27,44,25,bab
2022-09-28,47,26,bab
2022-09-29,56,31,bab
2022-09-30,53,16,bab
2022-10-01,36,33,bab
2022-10-02,48,24,bab
2022-10-03,40,39,bab
2022-10-04,38,19,bab
2022-10-05,51,16,bab
2022-10-06,45,24,bab
2022-10-07,51,25,bab
2022-10-08,39,23,bab
2022-10-09,57,21,bab
2022-10-10,47,20,bab
2022-10-11,50,25,bab
2022-10-12,52,20,bab
2022-10-13,47,21,bab
2022-10-14,50,15,bab
2022-10-15,46,26,bab
2022-10-16,48,24,bab
2022-10-17,49,42,bab
2022-10-18,48,22,bab
2022-10-19,38,26,bab
2022-10-20,42,27,bab
2022-10-21,44,24,bab
2022-10-22,43,29,bab
2022-10-23,46,16,bab
2022-10-24,56,29,bab
2022-10-25,47,26,bab
2022-10-26,55,26,bab
2022-10-27,50,29,bab
2022-10-28,48,19,bab
2022-10-29,50,21,bab
2022-10-30,39,18,bab
2022-10-31,44,27,bab
2022-11-01,45,27,bab
2022-11-02,64,28,bab
2022-11-03,58,23,bab
2022-11-04,43,20,bab
2022-11-05,57,28,bab
2022-11-06,41,28,bab
2022-11-07,43,28,bab
2022-11-08,50,28,bab
2022-11-09,51,28,bab
2022-11-10,55,17,bab
2022-11-11,49,26,bab
2022-11-12,45,30,bab
2022-11-13,50,28,bab
2022-11-14,56,21,bab
2022-11-15,52,30,bab
2022-11-16,45,23,bab
2022-11-17,37,31,bab
2022-11-18,49,26,bab
2022-11-19,44,21,bab
2022-11-20,47,11,bab
2022-11-21,51,30,bab
2022-11-22,52,21,bab
2022-11-23,53,28,bab
2022-11-24,40,22,bab
2022-11-25,56,30,bab
2022-11-26,56,32,bab
2022-11-27,48,18,bab
2022-11-28,47,21,bab
2022-11-29,44,21,bab
2022-11-30,54,28,bab
2022-12-01,34,26,bab
2022-12-02,42,24,bab
2022-12-03,47,24,bab
2022-12-04,48,16,bab
2022-12-05,49,28,bab
2022-12-06,40,24,bab
2022-12-07,58,20,bab
2022-12-08,50,24,bab
2022-12-09,38,24,bab
2022-12-10,51,29,bab
2022-12-11,41,32,bab
2022-12-12,43,28,bab
2022-12-13,42,22,bab
2022-12-14,47,26,bab
2022-12-15,53,19,bab
2022-12-16,53,25,bab
2022-12-17,41,27,bab
2022-12-18,49,27,bab
2022-12-19,40,24,bab
2022-12-20,46,29,bab
2022-12-21,46,28,bab
2022-12-22,42,20,bab
2022-12-23,44,29,bab
2022-12-24,48,29,bab
2022-12-25,47,36,bab
2022-12-26,42,18,bab
2022-12-27,69,18,bab
2022-12-28,47,28,bab
2022-12-29,46,34,bab
2022-12-30,37,29,bab
2022-12-31,56,26,bab
2023-01-01,53,26,bab
2023-01-02,52,31,bab
2023-01-03,36,27,bab
2023-01-04,39,38,bab
2023-01-05,54,23,bab
2023-01-06,68,27,bab
2023-01-07,53,24,bab
2023-01-08,50,14,bab
2023-01-09,44,35,bab
2023-01-10,42,20,bab
2023-01-11,47,24,bab
2023-01-12,39,25,bab
2023-01-13,41,17,bab
2023-01-14,49,25,bab
2023-01-15,49,35,bab
2023-01-16,59,28,bab
2023-01-17,46,22,bab
2023-01-18,45,29,bab
2023-01-19,39,33,bab
2023-01-20,53,21,bab
2023-01-21,47,24,bab
2023-01-22,46,32,bab
2023-01-23,48,20,bab
2023-01-24,41,23,bab
2023-01-25,54,18,bab
2023-01-26,51,22,bab
2023-01-27,40,19,bab
2023-01-28,45,26,bab
2023-01-29,47,28,bab
2023-01-30,33,24,bab
2023-01-31,42,28,bab
2023-02-01,60,21,bab
2023-02-02,58,34,bab
2023-02-03,43,26,bab
2023-02-04,46,23,bab
2023-02-05,58,31,bab
2023-02-06,39,28,bab
2023-02-07,57,21,bab
2023-02-08,47,28,bab
2023-02-09,46,23,bab
2023-02-10,35,19,bab
2023-02-11,38,22,bab
2023-02-12,38,27,bab
2023-02-13,38,30,bab
2023-02-14,11,6,bab
2023-02-15,48,27,bab
2023-02-16,51,25,bab
2023-02-17,41,20,bab
2023-02-18,39,29,bab
2023-02-19,39,27,bab
2023-02-20,62,26,bab
2023-02-21,49,22,bab
2023-02-22,43,36,bab
2023-02-23,47,31,bab
2023-02-24,41,20,bab
2023-02-25,36,25,bab
2023-02-26,39,25,bab
2023-02-27,55,19,bab
2023-02-28,52,20,bab
2023-03-01,51,31,bab
2023-03-02,56,29,bab
2023-03-03,48,17,bab
2023-03-04,46,27,bab
2023-03-05,36,35,bab
2023-03-06,32,20,bab
2023-03-07,54,19,bab
2023-03-08,43,24,bab
2023-03-09,57,30,bab
2023-03-10,54,15,bab
2023-03-11,47,19,bab
2023-03-12,45,25,bab
2023-03-13,42,29,bab
2023-03-14,35,37,bab
2023-03-15,37,31,bab
2023-03-16,51,26,bab
2023-03-17,60,33,bab
2023-03-18,48,30,bab
2023-03-19,52,32,bab
2023-03-20,58,19,bab
2023-03-21,52,22,bab
2023-03-22,49,20,bab
2023-03-23,36,28,bab
2023-03-24,54,29,bab
2023-03-25,34,28,bab
2023-03-26,32,30,bab
2023-03-27,56,27,bab
2023-03-28,60,29,bab
2023-03-29,55,26,bab
2023-03-30,47,24,bab
2023-03-31,46,31,bab
2023-04-01,39,31,bab
2023-04-02,43,24,bab
2023-04-03,47,25,bab
2023-04-04,41,20,bab
2023-04-05,53,30,bab
2023-04-06,61,24,bab
2023-04-07,51,29,bab
2023-04-08,48,20,bab
2023-04-09,39,23,bab
2023-04-10,34,29,bab
2023-04-11,53,29,bab
2023-04-12,40,26,bab
2023-04-13,55,22,bab
2023-04-14,52,27,bab
2023-04-15,45,29,bab
2023-04-16,45,29,bab
2023-04-17,61,30,bab
2023-04-18,55,19,bab
2023-04-19,56,36,bab
2023-04-20,44,22,bab
2023-04-21,45,33,bab
2023-04-22,53,27,bab
2023-04-23,42,21,bab
2023-04-24,48,35,bab
2023-04-25,51,28,bab
2023-04-26,61,34,bab
2023-04-27,44,31,bab
2023-04-28,54,24,bab
2023-04-29,56,27,bab
2023-04-30,46,24,bab
2023-05-01,64,30,bab
2023-05-02,42,23,bab
2023-05-03,55,23,bab
2023-05-04,48,24,bab
2023-05-05,44,31,bab
2023-05-06,44,34,bab
2023-05-07,41,34,bab
2023-05-08,63,25,bab
2023-05-09,49,26,bab
2023-05-10,50,28,bab
2023-05-11,65,29,bab
2023-05-12,48,26,bab
2023-05-13,53,29,bab
2023-05-14,61,20,bab
2023-05-15,46,30,bab
2023-05-16,57,24,bab
2023-05-17,52,24,bab
2023-05-18,52,32,bab
2023-05-19,57,25,bab
2023-05-20,41,31,bab
2023-05-21,48,40,bab
2023-05-22,59,29,bab
2023-05-23,62,32,bab
2023-05-24,59,25,bab
2023-05-25,45,22,bab
2023-05-26,58,16,bab
2023-05-27,50,23,bab
2023-05-28,55,22,bab
2023-05-29,50,27,bab
2023-05-30,55,28,bab
2023-05-31,44,20,bab
2023-06-01,61,16,bab
2023-06-02,66,35,bab
2023-06-03,51,25,bab
2023-06-04,63,33,bab
2023-06-05,52,28,bab
2023-06-06,46,30,bab
2023-06-07,41,21,bab
2023-06-08,49,33,bab
2023-06-09,54,32,bab
2023-06-10,42,24,bab
2023-06-11,43,29,bab
2023-06-12,42,22,bab
2023-06-13,53,20,bab
2023-06-14,48,21,bab
2023-06-15,38,30,bab
2023-06-16,59,20,bab
2023-06-17,51,27,bab
2023-06-18,66,27,bab
2023-06-19,50,35,bab
2023-06-20,53,29,bab
2023-06-21,62,24,bab
2023-06-22,50,28,bab
2023-06-23,55,29,bab
2023-06-24,39,29,bab
2023-06-25,52,34,bab
2023-06-26,56,27,bab
2023-06-27,56,30,bab
2023-06-28,44,21,bab
2023-06-29,48,26,bab
2023-06-30,43,22,bab
2023-07-01,39,38,bab
2023-07-02,51,23,bab
2023-07-03,57,18,bab
2023-07-04,58,28,bab
2023-07-05,55,31,bab
2023-07-06,51,22,bab
2023-07-07,46,33,bab
2023-07-08,33,31,bab
2023-07-09,37,25,bab
2023-07-10,41,23,bab
2023-07-11,48,24,bab
2023-07-12,42,39,bab
2023-07-13,42,28,bab
2023-07-14,44,24,bab
2023-07-15,55,28,bab
2023-07-16,51,30,bab
2023-07-17,50,33,bab
2023-07-18,66,25,bab
2023-07-19,38,22,bab
2023-07-20,43,25,bab
2023-07-21,53,29,bab
2023-07-22,42,27,bab
2023-07-23,50,21,bab
2023-07-24,51,29,bab
2023-07-25,40,30,bab
2023-07-26,47,20,bab
2023-07-27,49,25,bab
2023-07-28,42,18,bab
2023-07-29,51,32,bab
2023-07-30,51,29,bab
2023-07-31,50,35,bab
2023-08-01,46,25,bab
2023-08-02,50,27,bab
2023-08-03,54,23,bab
2023-08-04,44,22,bab
2023-08-05,51,22,bab
2023-08-06,44,30,bab
2023-08-07,40,28,bab
2023-08-08,39,22,bab
2023-08-09,57,26,bab
2023-08-10,46,17,bab
2023-08-11,48,24,bab
2023-08-12,52,19,bab
2023-08-13,62,34,bab
2023-08-14,48,39,bab
2023-08-15,42,23,bab
2023-08-16,51,23,bab
2023-08-17,51,24,bab
2023-08-18,48,29,bab
2023-08-19,48,27,bab
2023-08-20,51,25,bab
2023-08-21,49,22,bab
2023-08-22,56,25,bab
2023-08-23,54,22,bab
2023-08-24,54,26,bab
2023-08-25,47,22,bab
2023-08-26,34,13,bab
2023-08-27,49,18,bab
2023-08-28,43,31,bab
2023-08-29,53,23,bab
2023-08-30,57,28,bab
2023-08-31,54,28,bab
2023-09-01,44,29,bab
2023-09-02,57,26,bab
2023-09-03,45,32,bab
2023-09-04,45,33,bab
2023-09-05,45,35,bab
2023-09-06,56,25,bab
2023-09-07,46,25,bab
2023-09-08,51,24,bab
2023-09-09,45,29,bab
2023-09-10,45,25,bab
2023-09-11,61,24,bab
2023-09-12,45,29,bab
2023-09-13,51,18,bab
2023-09-14,65,34,bab
2023-09-15,52,20,bab
2023-09-16,40,31,bab
2023-09-17,47,23,bab
2023-09-18,46,31,bab
2023-09-19,57,22,bab
2023-09-20,49,30,bab
2023-09-21,47,22,bab
2023-09-22,48,34,bab
2023-09-23,54,30,bab
2023-09-24,54,26,bab
2023-09-25,41,21,bab
2023-09-26,49,24,bab
2023-09-27,49,17,bab
2023-09-28,57,22,bab
2023-09-29,50,28,bab
2023-09-30,51,29,bab
2023-10-01,54,29,bab
2023-10-02,42,30,bab
2023-10-03,52,28,bab
2023-10-04,51,23,bab
2023-10-05,54,23,bab
2023-10-06,65,26,bab
2023-10-07,52,26,bab
2023-10-08,47,25,bab
2023-10-09,49,23,bab
2023-10-10,43,31,bab
2023-10-11,54,30,bab
2023-10-12,62,19,bab
2023-10-13,51,27,bab
2023-10-14,56,29,bab
2023-10-15,62,18,bab
2023-10-16,44,39,bab
2023-10-17,58,24,bab
2023-10-18,43,31,bab
2023-10-19,51,36,bab
2023-10-20,60,27,bab
2023-10-21,53,35,bab
2023-10-22,52,19,bab
2023-10-23,45,19,bab
2023-10-24,49,22,bab
2023-10-25,52,34,bab
2023-10-26,30,35,bab
2023-10-27,71,21,bab
2023-10-28,52,29,bab
2023-10-29,41,24,bab
2023-10-30,54,27,bab
2023-10-31,52,26,bab
2023-11-01,46,15,bab
2023-11-02,70,20,bab
2023-11-03,57,28,bab
2023-11-04,55,28,bab
2023-11-05,47,21,bab
2023-11-06,49,19,bab
2023-11-07,43,22,bab
2023-11-08,52,25,bab
2023-11-09,48,35,bab
2023-11-10,44,28,bab
2023-11-11,65,22,bab
2023-11-12,39,28,bab
2023-11-13,55,28,bab
2023-11-14,53,20,bab
2023-11-15,50,26,bab
2023-11-16,55,19,bab
2023-11-17,47,35,bab
2023-11-18,61,23,bab
2023-11-19,37,20,bab
2023-11-20,48,24,bab
2023-11-21,60,28,bab
2023-11-22,59,26,bab
2023-11-23,47,25,bab
2023-11-24,60,24,bab
2023-11-25,42,31,bab
2023-11-26,51,34,bab
2023-11-27,36,29,bab
2023-11-28,52,25,bab
2023-11-29,48,39,bab
2023-11-30,46,27,bab
2023-12-01,41,23,bab
2023-12-02,47,21,bab
2023-12-03,52,33,bab
2023-12-04,54,25,bab
2023-12-05,39,30,bab
2023-12-06,39,26,bab
2023-12-07,43,28,bab
2023-12-08,48,31,bab
2023-12-09,52,25,bab
2023-12-10,37,25,bab
2023-12-11,37,22,bab
2023-12-12,57,21,bab
2023-12-13,44,35,bab
2023-12-14,58,34,bab
2023-12-15,48,25,bab
2023-12-16,38,27,bab
2023-12-17,30,26,bab
2023-12-18,29,23,bab
2023-12-19,31,21,bab
2023-12-20,42,17,bab
2023-12-21,27,26,bab
2023-12-22,30,19,bab
2023-12-23,29,17,bab
2023-12-24,43,27,bab
2023-12-25,38,24,bab
2023-12-26,30,29,bab
2023-12-27,22,21,bab
2023-12-28,27,17,bab
2023-12-29,40,23,bab
2023-12-30,26,19,bab
2023-12-31,35,15,bab
2024-01-01,17,16,bab
2024-01-02,28,17,bab
2024-01-03,29,12,bab
2024-01-04,31,20,bab
2024-01-05,25,18,bab
2024-01-06,28,16,bab
2024-01-07,30,14,bab
2024-01-08,26,23,bab
2024-01-09,28,15,bab
2024-01-10,27,16,bab
2024-01-11,33,19,bab
2024-01-12,27,8,bab
2024-01-13,29,10,bab
2024-01-14,19,7,bab
2024-01-15,20,10,bab
2024-01-16,25,10,bab
2024-01-17,28,18,bab
2024-01-18,18,10,bab
2024-01-19,25,10,bab
2024-01-20,27,12,bab
2024-01-21,21,16,bab
2024-01-22,26,15,bab
2024-01-23,24,10,bab
2024-01-24,20,9,bab
2024-01-25,16,12,bab
2019-01-01,63,22,suez
2019-01-02,41,10,suez
2019-01-03,41,24,suez
2019-01-04,33,15,suez
2019-01-05,31,13,suez
2019-01-06,32,19,suez
2019-01-07,32,15,suez
2019-01-08,38,11,suez
2019-01-09,40,19,suez
2019-01-10,35,16,suez
2019-01-11,34,20,suez
2019-01-12,33,12,suez
2019-01-13,25,15,suez
2019-01-14,43,10,suez
2019-01-15,30,19,suez
2019-01-16,28,13,suez
2019-01-17,24,15,suez
2019-01-18,29,13,suez
2019-01-19,33,16,suez
2019-01-20,42,12,suez
2019-01-21,29,22,suez
2019-01-22,38,23,suez
2019-01-23,43,20,suez
2019-01-24,31,16,suez
2019-01-25,33,16,suez
2019-01-26,35,12,suez
2019-01-27,31,19,suez
2019-01-28,32,18,suez
2019-01-29,33,14,suez
2019-01-30,42,16,suez
2019-01-31,22,18,suez
2019-02-01,37,11,suez
2019-02-02,33,12,suez
2019-02-03,38,12,suez
2019-02-04,24,18,suez
2019-02-05,50,19,suez
2019-02-06,40,15,suez
2019-02-07,36,22,suez
2019-02-08,30,18,suez
2019-02-09,47,12,suez
2019-02-10,30,12,suez
2019-02-11,41,19,suez
2019-02-12,37,24,suez
2019-02-13,32,12,suez
2019-02-14,27,17,suez
2019-02-15,29,7,suez
2019-02-16,35,20,suez
2019-02-17,33,18,suez
2019-02-18,29,17,suez
2019-02-19,36,13,suez
2019-02-20,32,19,suez
2019-02-21,39,11,suez
2019-02-22,39,20,suez
2019-02-23,43,15,suez
2019-02-24,31,15,suez
2019-02-25,36,14,suez
2019-02-26,35,14,suez
2019-02-27,28,10,suez
2019-02-28,36,18,suez
2019-03-01,34,20,suez
2019-03-02,37,15,suez
2019-03-03,41,15,suez
2019-03-04,30,23,suez
2019-03-05,34,19,suez
2019-03-06,35,18,suez
2019-03-07,31,22,suez
2019-03-08,31,16,suez
2019-03-09,34,25,suez
2019-03-10,35,21,suez
2019-03-11,35,23,suez
2019-03-12,32,20,suez
2019-03-13,31,11,suez
2019-03-14,38,22,suez
2019-03-15,33,16,suez
2019-03-16,32,12,suez
2019-03-17,27,13,suez
2019-03-18,31,12,suez
2019-03-19,42,22,suez
2019-03-20,30,18,suez
2019-03-21,31,13,suez
2019-03-22,29,17,suez
2019-03-23,31,18,suez
2019-03-24,32,19,suez
2019-03-25,28,20,suez
2019-03-26,31,15,suez
2019-03-27,38,7,suez
2019-03-28,46,18,suez
2019-03-29,39,19,suez
2019-03-30,32,13,suez
2019-03-31,24,12,suez
2019-04-01,46,24,suez
2019-04-02,42,14,suez
2019-04-03,32,19,suez
2019-04-04,36,19,suez
2019-04-05,43,19,suez
2019-04-06,32,15,suez
2019-04-07,27,14,suez
2019-04-08,45,19,suez
2019-04-09,42,21,suez
2019-04-10,30,14,suez
2019-04-11,45,16,suez
2019-04-12,32,10,suez
2019-04-13,30,13,suez
2019-04-14,34,17,suez
2019-04-15,38,13,suez
2019-04-16,46,14,suez
2019-04-17,40,14,suez
2019-04-18,32,21,suez
2019-04-19,43,13,suez
2019-04-20,22,10,suez
2019-04-21,33,15,suez
2019-04-22,39,23,suez
2019-04-23,38,22,suez
2019-04-24,45,11,suez
2019-04-25,34,9,suez
2019-04-26,28,21,suez
2019-04-27,45,12,suez
2019-04-28,40,7,suez
2019-04-29,38,23,suez
2019-04-30,33,21,suez
2019-05-01,40,17,suez
2019-05-02,30,15,suez
2019-05-03,34,17,suez
2019-05-04,33,16,suez
2019-05-05,28,17,suez
2019-05-06,47,11,suez
2019-05-07,42,16,suez
2019-05-08,37,12,suez
2019-05-09,26,11,suez
2019-05-10,45,18,suez
2019-05-11,26,23,suez
2019-05-12,35,11,suez
2019-05-13,41,14,suez
2019-05-14,40,19,suez
2019-05-15,36,17,suez
2019-05-16,36,22,suez
2019-05-17,32,14,suez
2019-05-18,32,7,suez
2019-05-19,34,21,suez
2019-05-20,35,16,suez
2019-05-21,40,22,suez
2019-05-22,36,17,suez
2019-05-23,40,19,suez
